in:dy_4,in:dx_0,in:dy_0,out:Displayment,out:Mass,img
-3,-1,-2,0.088828,231.525121,dy_4-3_dx_0-1_dy_0-2.png
-1.8,-1,-2,0.076446,218.259438,dy_4-1.8_dx_0-1_dy_0-2.png
-0.6,-1,-2,0.116196,221.821337,dy_4-0.6_dx_0-1_dy_0-2.png
0.6,-1,-2,0.1168,242.861716,dy_40.6_dx_0-1_dy_0-2.png
1.8,-1,-2,0.063576,279.137367,dy_41.8_dx_0-1_dy_0-2.png
3,-1,-2,0.05921,323.350405,dy_43_dx_0-1_dy_0-2.png
-3,-0.6,-2,0.08826,214.695994,dy_4-3_dx_0-0.6_dy_0-2.png
-1.8,-0.6,-2,0.068777,202.825293,dy_4-1.8_dx_0-0.6_dy_0-2.png
-0.6,-0.6,-2,0.103616,208.42328,dy_4-0.6_dx_0-0.6_dy_0-2.png
0.6,-0.6,-2,0.109957,230.81121,dy_40.6_dx_0-0.6_dy_0-2.png
1.8,-0.6,-2,0.062478,267.933822,dy_41.8_dx_0-0.6_dy_0-2.png
3,-0.6,-2,0.058684,312.708202,dy_43_dx_0-0.6_dy_0-2.png
-3,-0.2,-2,0.086826,198.994171,dy_4-3_dx_0-0.2_dy_0-2.png
-1.8,-0.2,-2,0.060694,189.138263,dy_4-1.8_dx_0-0.2_dy_0-2.png
-0.6,-0.2,-2,0.095072,196.990004,dy_4-0.6_dx_0-0.2_dy_0-2.png
0.6,-0.2,-2,0.106196,220.628407,dy_40.6_dx_0-0.2_dy_0-2.png
1.8,-0.2,-2,0.062051,258.47861,dy_41.8_dx_0-0.2_dy_0-2.png
3,-0.2,-2,0.058605,303.717776,dy_43_dx_0-0.2_dy_0-2.png
-3,0.2,-2,0.082101,184.340037,dy_4-3_dx_00.2_dy_0-2.png
-1.8,0.2,-2,0.054218,177.525677,dy_4-1.8_dx_00.2_dy_0-2.png
-0.6,0.2,-2,0.091037,187.645826,dy_4-0.6_dx_00.2_dy_0-2.png
0.6,0.2,-2,0.105668,212.320753,dy_40.6_dx_00.2_dy_0-2.png
1.8,0.2,-2,0.062337,250.733587,dy_41.8_dx_00.2_dy_0-2.png
3,0.2,-2,0.058975,296.32133,dy_43_dx_00.2_dy_0-2.png
-3,0.6,-2,0.063302,170.628165,dy_4-3_dx_00.6_dy_0-2.png
-1.8,0.6,-2,0.051383,168.53427,dy_4-1.8_dx_00.6_dy_0-2.png
-0.6,0.6,-2,0.091703,180.478794,dy_4-0.6_dx_00.6_dy_0-2.png
0.6,0.6,-2,0.10847,205.84724,dy_40.6_dx_00.6_dy_0-2.png
1.8,0.6,-2,0.063331,244.616908,dy_41.8_dx_00.6_dy_0-2.png
3,0.6,-2,0.059775,290.420909,dy_43_dx_00.6_dy_0-2.png
-3,1,-2,0.045091,158.083994,dy_4-3_dx_01_dy_0-2.png
-1.8,1,-2,0.056935,150.222614,dy_4-1.8_dx_01_dy_0-2.png
-0.6,1,-2,0.117864,149.836541,dy_4-0.6_dx_01_dy_0-2.png
0.6,1,-2,0.146852,162.393166,dy_40.6_dx_01_dy_0-2.png
1.8,1,-2,0.074053,188.228439,dy_41.8_dx_01_dy_0-2.png
3,1,-2,0.068538,221.048978,dy_43_dx_01_dy_0-2.png
-3,-1,-1.2,0.075079,217.790243,dy_4-3_dx_0-1_dy_0-1.2.png
-1.8,-1,-1.2,0.096438,194.759103,dy_4-1.8_dx_0-1_dy_0-1.2.png
-0.6,-1,-1.2,0.134591,192.290744,dy_4-0.6_dx_0-1_dy_0-1.2.png
0.6,-1,-1.2,0.111211,210.766572,dy_40.6_dx_0-1_dy_0-1.2.png
1.8,-1,-1.2,0.060286,245.914269,dy_41.8_dx_0-1_dy_0-1.2.png
3,-1,-1.2,0.05631,289.564218,dy_43_dx_0-1_dy_0-1.2.png
-3,-0.6,-1.2,0.06648,201.989913,dy_4-3_dx_0-0.6_dy_0-1.2.png
-1.8,-0.6,-1.2,0.092661,178.305948,dy_4-1.8_dx_0-0.6_dy_0-1.2.png
-0.6,-0.6,-1.2,0.111594,177.803156,dy_4-0.6_dx_0-0.6_dy_0-1.2.png
0.6,-0.6,-1.2,0.101432,198.098074,dy_40.6_dx_0-0.6_dy_0-1.2.png
1.8,-0.6,-1.2,0.058856,234.395826,dy_41.8_dx_0-0.6_dy_0-1.2.png
3,-0.6,-1.2,0.055722,278.779263,dy_43_dx_0-0.6_dy_0-1.2.png
-3,-0.2,-1.2,0.055101,188.118418,dy_4-3_dx_0-0.2_dy_0-1.2.png
-1.8,-0.2,-1.2,0.085016,163.458398,dy_4-1.8_dx_0-0.2_dy_0-1.2.png
-0.6,-0.2,-1.2,0.094402,165.581611,dy_4-0.6_dx_0-0.2_dy_0-1.2.png
0.6,-0.2,-1.2,0.096008,187.744512,dy_40.6_dx_0-0.2_dy_0-1.2.png
1.8,-0.2,-1.2,0.058444,225.074998,dy_41.8_dx_0-0.2_dy_0-1.2.png
3,-0.2,-1.2,0.055826,270.079087,dy_43_dx_0-0.2_dy_0-1.2.png
-3,0.2,-1.2,0.046266,176.373103,dy_4-3_dx_00.2_dy_0-1.2.png
-1.8,0.2,-1.2,0.07049,150.172782,dy_4-1.8_dx_00.2_dy_0-1.2.png
-0.6,0.2,-1.2,0.08488,155.790655,dy_4-0.6_dx_00.2_dy_0-1.2.png
0.6,0.2,-1.2,0.095289,179.672637,dy_40.6_dx_00.2_dy_0-1.2.png
1.8,0.2,-1.2,0.059115,217.833429,dy_41.8_dx_00.2_dy_0-1.2.png
3,0.2,-1.2,0.056606,263.311373,dy_43_dx_00.2_dy_0-1.2.png
-3,0.6,-1.2,0.045244,167.335142,dy_4-3_dx_00.6_dy_0-1.2.png
-1.8,0.6,-1.2,0.05335,138.751962,dy_4-1.8_dx_00.6_dy_0-1.2.png
-0.6,0.6,-1.2,0.083924,148.644208,dy_4-0.6_dx_00.6_dy_0-1.2.png
0.6,0.6,-1.2,0.099531,173.786902,dy_40.6_dx_00.6_dy_0-1.2.png
1.8,0.6,-1.2,0.060844,212.489983,dy_41.8_dx_00.6_dy_0-1.2.png
3,0.6,-1.2,0.058006,258.26568,dy_43_dx_00.6_dy_0-1.2.png
-3,1,-1.2,0.051661,153.028025,dy_4-3_dx_01_dy_0-1.2.png
-1.8,1,-1.2,0.051824,127.757598,dy_4-1.8_dx_01_dy_0-1.2.png
-0.6,1,-1.2,0.106088,127.371524,dy_4-0.6_dx_01_dy_0-1.2.png
0.6,1,-1.2,0.135105,139.928149,dy_40.6_dx_01_dy_0-1.2.png
1.8,1,-1.2,0.071887,165.763422,dy_41.8_dx_01_dy_0-1.2.png
3,1,-1.2,0.067171,198.583961,dy_43_dx_01_dy_0-1.2.png
-3,-1,-0.4,0.060194,209.459722,dy_4-3_dx_0-1_dy_0-0.4.png
-1.8,-1,-0.4,0.094179,177.691412,dy_4-1.8_dx_0-1_dy_0-0.4.png
-0.6,-1,-0.4,0.221918,166.244163,dy_4-0.6_dx_0-1_dy_0-0.4.png
0.6,-1,-0.4,0.118508,180.122854,dy_40.6_dx_0-1_dy_0-0.4.png
1.8,-1,-0.4,0.057533,213.344936,dy_41.8_dx_0-1_dy_0-0.4.png
3,-1,-0.4,0.05312,256.112563,dy_43_dx_0-1_dy_0-0.4.png
-3,-0.6,-0.4,0.050603,195.549815,dy_4-3_dx_0-0.6_dy_0-0.4.png
-1.8,-0.6,-0.4,0.087914,161.75324,dy_4-1.8_dx_0-0.6_dy_0-0.4.png
-0.6,-0.6,-0.4,0.179264,150.746118,dy_4-0.6_dx_0-0.6_dy_0-0.4.png
0.6,-0.6,-0.4,0.103855,166.758681,dy_40.6_dx_0-0.6_dy_0-0.4.png
1.8,-0.6,-0.4,0.05607,201.5561,dy_41.8_dx_0-0.6_dy_0-0.4.png
3,-0.6,-0.4,0.052836,245.30803,dy_43_dx_0-0.6_dy_0-0.4.png
-3,-0.2,-0.4,0.045078,184.611944,dy_4-3_dx_0-0.2_dy_0-0.4.png
-1.8,-0.2,-0.4,0.075219,148.15581,dy_4-1.8_dx_0-0.2_dy_0-0.4.png
-0.6,-0.2,-0.4,0.13646,137.80956,dy_4-0.6_dx_0-0.2_dy_0-0.4.png
0.6,-0.2,-0.4,0.095851,156.410404,dy_40.6_dx_0-0.2_dy_0-0.4.png
1.8,-0.2,-0.4,0.056311,192.734723,dy_41.8_dx_0-0.2_dy_0-0.4.png
3,-0.2,-0.4,0.053778,237.348714,dy_43_dx_0-0.2_dy_0-0.4.png
